"","Drone_1","Drone_2","Drone_3","Drone_4","Drone_5","Drone_6","Queen_1","Queen_2","Queen_3","Queen_4","queen_5","Queen_6","Worker_1","Worker_2","Worker_3","Worker_4","Worker_5","Worker_6"
"LOC412735",21.581,32.457,31.528,24.664,24.195,29.042,34.883,38.312,33.873,41.575,38.462,40.2,26.327,31.595,28.419,20.988,25.856,22.282
"LOC100577538",0.226,0.361,0.218,0.096,0.224,0.274,0.364,0.158,0.093,0.053,0.268,0.061,0.211,0,0.152,0.25,0.155,0.391
"LOC724727",34.941,31.974,35.938,35.685,30.66,31.762,30.195,25.482,28.917,28.255,25.458,25.943,32.02,29.487,34.325,30.386,30.025,28.163
"LOC113218945",1.144,0.928,1.458,1.204,1.355,1.517,0.617,0.925,1.14,1.02,0.636,0.88,1.25,1.036,0.999,1.077,1.177,0.451
"LOC551210",12.565,13.717,12.542,15.28,15.151,13.267,20.476,17.559,18.524,14.945,20.527,18.388,15.031,15.88,19.353,16.949,17.733,20.174
"LOC113218987",13.61,14.854,12.501,21.497,21.784,20.873,21.737,23.859,23.068,10.093,13.632,13.002,25.272,12.764,29.133,27.453,18.671,19.001
"LOC100577932",1.296,1.341,2.04,1.051,1.769,1.94,0.379,1.644,0.868,1.044,0.837,1.2,1.921,1.582,0.894,1.771,0.966,1.069
"LOC102654895",1.738,1.934,1.3,2.133,2.289,0.935,1.953,1.437,0.79,1.441,0.731,1.449,1.799,1.788,1.724,1.877,2.11,1.001
"LOC551883",3.328,3.01,3.974,4.119,3.735,5.187,2.999,2.911,3.355,3.084,2.546,2.292,3.838,3.102,2.745,3.944,3.371,2.371
"LOC100578161",60.074,54.599,58.543,60.591,48.736,56.43,49.262,58.379,53.834,55.657,58.475,65.343,60.701,58.534,60.087,60.442,53.499,57.378
"LOC409547",109.42,121.006,116.186,118.209,122.077,114.265,137.994,127.966,116.576,136.49,138.129,130.829,94.997,96.357,92.372,113.202,113.327,130.014
"TRNAA-GGC",14.081,5.494,17.409,8.545,6.357,7.793,1.849,1.871,6.586,20.643,30.477,10.783,7.494,3.725,10.775,14.223,27.476,22.599
"LOC408711",39.473,38.24,42.147,37.476,43.288,42.995,44.556,48.607,48.641,46.394,44.962,40.663,35.065,39.281,42.768,37.745,31.725,43.704
"LOC724358",7.267,4.768,6.17,7.685,7.36,6.477,2.274,2.966,2.357,3.804,2.05,1.948,4.464,4.491,3.347,5.09,3.643,1.988
"LOC102653904",0.15,0.218,0.317,0.254,0.213,0.406,0.11,0.139,0.319,0.112,0.17,0.193,0.223,0.277,0.134,0.132,0.191,0.155
"LOC113218601",169.55,89.968,114.364,171.035,140.137,158.098,151.198,139.221,153.968,161.572,159.808,120.512,246.433,148.801,172.146,212.91,199.09,129.564
"LOC102654656",0.906,2.391,3.92,2.001,1.36,7.018,1.665,1.685,2.373,3.296,2.745,3.107,1.181,3.355,2.103,1.441,1.65,1.096
"Mir1006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC113218520",0.185,0.422,0,0.236,0.073,0.09,0,0,0,0,0,0.099,0.086,0,0,0.164,0.084,0
"LOC102655219",0.848,1.458,1.359,0.961,1.34,1.186,4.938,2.542,4.242,1.758,3.034,2.223,3.862,2.356,5.216,2.665,2.231,2.362
"LOC409671",80.772,84.951,77.344,78.597,78.431,80.12,83.417,78.113,83.364,88.603,92.046,91.813,72.992,73.994,71.706,81.816,76.421,86.278
"LOC107965231",8.934,13.057,5.426,9.788,12.261,7.515,8.43,12.028,7.891,7.897,11.355,11.847,9.635,8.49,9.236,7.897,8.35,9.753
"LOC551269",64.122,67.662,71.586,71.128,69.835,73.352,95.035,86.61,99.148,83.834,88.291,91.135,69.621,79.334,78.965,76.817,80.318,92.094
"LOC100576993",125.43,127.516,137.693,112.883,109.551,100.25,47.668,75.538,60.287,74.416,49.628,63.801,87.428,109.107,62.202,76.806,71.078,41.712
"LOC100576260",0.601,0.584,0.809,0.238,0.443,0.931,0.626,0.522,0.525,0.635,0.683,0.773,0.56,0.964,0.358,0.637,0.547,0.866
"LOC409593",26.997,28.764,28.639,31.244,34.683,33.236,30.475,34.326,30.156,25.792,29.857,30.055,29.548,26.616,30.983,34.563,34.844,35.026
"LOC102653584",0.132,1.322,1.143,0.561,0.835,0.895,0.121,0.246,0.324,0.985,0,0.566,0.492,1.222,0.118,0.583,0.481,0.799
"LOC552645",105.606,90.709,98.088,94.419,94.576,104.691,204.856,109.868,149.371,121.345,157.959,119.506,115.998,109.785,158.689,136.379,126.755,163.248
"Mir6046",7.065,17.688,11.889,9.004,16.747,8.554,14.614,11.5,26.024,3.296,13.38,1.894,4.935,13.083,9.461,1.561,3.217,4.579
"LOC412816",11.323,11.42,10.889,10.6,12.751,11.296,10.722,9.776,11.323,11.893,13.227,11.122,10.736,10.861,12.047,12.106,11.793,15.001
"LOC410060",20.627,20.113,17.589,22.053,22.109,23.994,11.029,15.506,12.575,13.692,10.357,12.861,16.862,18.378,13.687,14.624,12.088,7.89
"TRNAT-CGU_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC552342",59.433,88.406,64.803,62.499,74.564,86.658,59.263,84.285,68.967,59.664,54.835,79.819,49.43,74.18,43.405,43.026,45.372,46.469
"LOC552493",145.29,132.837,139.866,131.682,139.851,142.665,248.756,165.923,204.606,168.721,218.765,160.883,162.417,170.725,206.12,192.22,190.332,247.799
"LOC409860",19.223,17.909,18.773,21.153,19.171,17.716,27.214,21.457,25.3,18.562,22.092,22.851,19.574,20.564,24.828,20.554,21.992,24.258
"LOC100576565",5.692,4.784,5.895,7.348,5.276,5.62,6.642,5.804,8.961,6.128,6.427,6.572,6.933,6.183,6.744,6.096,7.576,7.474
"LOC725792",2.598,2.118,2.07,2.817,2.651,2.235,0.677,0.902,0.73,1.031,0.643,0.728,1.644,1.67,1.333,1.371,1.713,0.603
"LOC551676",161.26,145.686,141.019,141.558,155.196,134.913,178.032,177.19,164.305,170.683,196.493,164.491,156.961,164.618,162.485,168.373,176.255,179.076
"LOC409819",30.617,24.638,24.811,26.306,27.725,25.213,20.979,26.879,24.5,25.997,24.541,27.293,28.41,26.756,29.895,29.595,29.656,28.045
"LOC724167",8.58,8.066,8.609,5.943,8.474,7.588,13.632,10.149,11.375,9.919,12.099,10.598,10.597,9.757,14.155,10.303,13.248,16.441
"LOC410565",70,69.282,67.146,74.837,67.48,63.943,84.738,76.422,78.104,71.194,78.403,85.137,60.865,63.934,67.69,64.582,60.567,73.502
"LOC100576572",41.403,35.907,37.927,27.878,41.378,34.475,59.053,41.175,54.388,45.574,56.486,43.687,42.145,42.276,54.06,42.526,57.598,62.794
"LOC724977",33.844,33.308,35.728,32.128,33.464,31.133,38.85,31.568,36.759,32.81,35.719,48.345,25.183,37.727,31.398,31.501,29.959,36.193
"KEF36_p01",504.374,407.778,442.551,197.981,272.873,290.186,1542.84,724.93,1162.958,759.5,1344.431,842.16,633.766,661.738,1261.508,632.105,833.991,436.298
"LOC100576761",24.223,24.232,25.525,26.249,25.615,24.867,23.937,24.825,28.912,24.764,25.067,24.103,25.398,22.697,31.339,28.653,27.342,34.722
"LOC552447",277.002,260.571,186.842,286.762,229.596,174.82,270.85,182.115,162.814,189.319,120.371,173.402,176.894,239.975,144.506,206.098,156.085,155.683
"LOC408408",6.989,6.222,6.348,6.334,6.606,7.371,4.355,5.321,5.319,4.999,4.02,5.883,5.497,8.676,3.652,4.095,5.516,2.573
"LOC410102",16.65,18.527,18.68,20.883,20.256,25.086,21.017,22.125,17.74,23.917,22.024,22.101,20.8,19.454,21.354,23.009,20.457,21.584
"LOC102654628",2.099,2.899,2.193,3.083,3.9,3.057,4.09,3.556,5.087,3.814,2.383,3.92,4.377,2.51,3.811,4.068,1.823,2.379
"LOC411597",5.114,6.778,4.36,5.064,6.726,3.336,7.857,9.384,6.844,7.508,8.609,6.614,4.191,6.271,3.8,4.243,5.84,3.899
"LOC410019",8.633,8.896,8.745,9.549,9.265,7.807,7.65,8.281,8.638,8.087,7.97,9.386,7.758,9.457,8.003,7.216,6.984,7.303
"LOC100577033",16.379,16.046,15.836,22.16,17.162,18.796,18.332,20.534,17.124,16.028,17.533,16.224,23.132,14.754,23.366,24.076,17.509,20.386
"LOC412741",49.862,54.329,49.549,60.621,47.677,44.365,63.517,61.107,65.922,47.854,57.769,66.617,41.175,53.437,56.813,44.689,46.648,58.413
"LOC724344",23.129,21.576,22.511,22.236,20.981,21.361,9.111,11.103,11.804,12.218,9.913,12.155,11.109,18.792,11.156,12.425,11.068,9.619
"LOC100577678",2.517,0.64,1.182,2.139,0.416,0.624,1.884,0.381,0.767,2.239,0.61,0.941,1.036,0.867,0.575,2.225,1.119,0.708
"LOC410862",207.217,168.397,222.152,178.468,140.009,180.747,98.118,111.996,116.093,150.562,134.463,169.003,161.227,163.487,124.839,124.949,109.964,106.112
"LOC100578714",3.448,3.139,3.233,2.783,3.406,3.256,2.615,2.486,2.893,2.976,1.714,1.294,4.657,2.794,2.848,2.514,2.905,1.788
"LOC107964814",7.084,5.528,5.298,5.063,5.509,5.01,7.443,7.74,9.665,7.343,9.051,6.028,6.389,7.496,9.638,6.56,8.499,7.288
"LOC727599",183.144,179.542,176.121,170.54,180.123,195.098,249.497,203.869,198.121,234.493,238.843,196.917,156.176,164.859,136.681,169.956,169.66,170.732
"LOC725352",162.18,135.016,153.958,156.861,125.768,151.708,110.605,171.297,133.328,161.67,161.027,160.482,136.402,137.314,121.457,159.502,116.086,131.761
"LOC100578776",3.016,2.899,3.798,4.027,4.313,4.962,2.575,3.006,2.587,2.993,2.199,2.207,2.809,3.569,2.18,3.026,3.03,1.758
"LOC107964876",7.06,7.087,7.138,5.383,8.44,7.189,13.814,8.083,12.597,10.472,12.343,6.599,9.611,10.393,14.385,8.481,10.881,15.489
"LOC724259",0.689,1.045,0.441,0.585,0.725,0.889,0,0,0,0.428,0.217,0.246,0.214,0.213,0.82,1.42,1.045,0
"LOC410434",91.806,87.159,100.655,103.53,92.479,89.303,56.6,97.633,67.597,91.699,70.201,67.057,88.344,89.825,76.97,93.296,92.991,59.993
"LOC413948",2.544,1.677,1.687,1.416,1.941,2.719,2.823,1.795,0.646,1.309,1.246,1.411,1.716,1.3,1.801,2.714,1.837,1.744
"LOC113218644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC724807",132.736,145.868,145.088,118.148,118.56,127.503,95.758,125.256,140.827,156.914,173.321,110.488,148.972,128.248,136.667,147.2,136.141,134.901
"LOC102653941",5.016,4.099,2.35,4.808,4.167,2.865,2.01,2.752,1.158,3.12,3.167,1.931,2.516,2.144,2.526,2.387,1.874,1.667
"Obp4",0.24,0.437,0.692,0.611,1.516,1.161,0.882,0.446,0.589,0.895,0.454,0.771,0.893,1.11,0.856,0.636,1.528,0.207
"LOC409062",57.101,50.307,49.145,50.788,49.564,48.785,86.591,60.578,71.889,65.409,80.716,65.966,61.261,55.349,76.595,63.761,66.7,86.259
"LOC725346",36.522,34.29,70.475,25.161,19.508,28.044,10.383,16.315,14.703,30.039,17.065,24.537,32.451,26.253,18.825,20.494,35.338,22.79
"LOC113218784",0.848,0.386,0.544,0.54,0.279,0.068,2.599,1.183,2.546,1.385,2.41,1.97,4.543,4.319,6.184,3.811,3.991,2.382
"LOC409604",43.367,57.44,43.424,33.539,42.869,35.789,30.489,39.042,32.787,33.565,29.437,40.714,30.864,65.674,30.571,32.241,28.02,27.569
"LOC409100",54.723,61.955,58.295,52.407,57.497,57.46,54.54,52.437,52.134,49.295,58.41,57.658,48.114,55.584,54.966,55.353,53.056,64.62
"TRNAE-UUC",2.012,1.831,0,1.709,0,0,0,1.871,1.647,5.63,0,0,0,0,0,0,1.832,3.477
"LOC725457",1.489,0.581,0.695,2.385,1.21,0.906,2.933,3.165,1.602,1.786,1.128,1.003,0.792,1.103,0.456,1.165,0.271,0.404
"LOC552631",0.524,0.817,0.935,0.318,0.177,0.797,0.069,0.278,0.49,0.349,0.496,0.802,0.488,0.831,0.267,0.463,1.294,1.099
"LOC107964235",0,0,0,0,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC412027",27.304,24.472,28.621,30.619,25.259,27.596,25.414,31.786,31.721,31.328,37.177,33.182,27.563,27.715,34.295,31.778,29.729,32.756
"LOC102656753",0.419,0.167,0.252,0.445,0.311,0.102,0.217,0.171,0.086,0.098,0.199,0.084,0.098,0.121,0.328,0.394,0.072,0.181
"LOC412205",3.513,3.321,4.417,4.362,4.59,2.879,5.093,3.77,3.981,3.781,3.838,4.345,4.404,5.004,5.549,3.344,4.429,5.488
"LOC100577693",2.43,1.539,1.93,1.616,1.419,1.944,4.662,2.162,4.237,2.76,2.801,2.378,3.149,2.347,3.301,2.428,2.886,3.287
"LOC726583",11.318,12.406,13.267,13.779,13.704,12.817,15.686,13.566,14.197,12.924,16.69,15.153,13.846,13.869,14.881,11.895,13.332,16.935
"LOC551749",25.718,37.526,23.422,26.675,29.607,30.135,14.667,21.651,17.056,18.751,14.892,17.225,21.945,26.862,17.437,20.875,17.992,18.595
"LOC727280",10.211,8.885,8.825,8.84,11.796,9.39,19.013,14.427,13.279,13.807,17.013,11.294,11.316,12.626,14.656,13.367,15.772,14.912
"LOC726668",27.452,30.833,33.616,30.899,28.533,31.187,13.917,27.265,21.159,28.125,20.59,21.524,29.213,27.913,25.082,27.099,26.459,22.45
"LOC107963961",9.941,5.4,8.767,6.486,6.596,8.139,9.493,5.926,9.486,6.969,9.206,5.947,9.515,6.662,14.367,9.903,10.003,14.999
"LOC551157",1528.208,1375.372,1519.447,1552.76,1349.296,1384.971,1467.865,1604.411,1345.119,1591.88,1493.874,1581.213,1324.192,1360.869,1191.754,1394.739,1163.779,1240.431
"LOC725950",38.032,40.291,37.123,44.641,43.471,44.249,50.056,48.694,47.194,40.578,43.14,44.928,46.305,37.743,44.415,47.534,44.753,46.312
"LOC410501",0.913,1.027,1.343,0.981,0.934,1.301,1.26,0.7,1.254,1.028,1.018,0.806,1.201,0.696,0.552,0.95,0.807,0.789
"LOC102654469",0.19,0.173,0.183,0.485,0,0.277,0.525,0.177,0.702,0.178,0.271,0,0.532,0.353,0.935,0.168,1.214,0.411
"Mir3764",4.788,0,1.151,5.085,0.946,2.319,3.301,3.34,1.96,8.934,3.4,7.699,5.574,3.325,6.412,2.116,7.63,2.069
"LOC408846",25.078,26.239,28.252,20.501,22.287,21.748,19.975,21.249,18.837,24.075,25.494,28.623,19.508,22.497,19.648,19.846,19.786,23.218
"LOC102655208",0.661,0.301,0.318,0.281,0.261,0.641,0,0.615,0,0.154,0,0,0.154,0.153,0.59,0.146,0.301,0
"LOC102655282",0.381,0.693,0.183,0.485,0.301,0.553,0.7,0,0,0.178,0.36,0,0.177,0.176,0.34,0.336,0,0.329
"LOC727300",48.956,47.666,42.501,40.825,54.621,48.955,111.063,48.91,63.452,58.362,67.822,51.515,54.675,49.527,61.112,73.12,72.445,85.988
"LOC724798",13.296,11.799,13.353,13.37,11.703,14.998,24.216,21.291,18.462,17.979,21.357,18.315,15.676,13.558,17.055,16.438,18.469,18.982
"LOC411639",0.054,0.062,0.34,0.174,0.14,0.237,0.013,0.114,0.045,0.038,0.09,0.058,0.089,0.05,0.122,0.108,0.112,0.047
"LOC408852",242.121,247.841,243.118,244.907,251.639,254.321,142.323,164.252,142.975,164.402,115.587,131.207,193.429,222.289,136.119,177.774,154.127,93.493
"LOC100576176",9.061,7.84,9.362,7.635,10.414,8.196,10.052,8.916,10.912,12.157,13.048,9.634,10.323,9.361,10.029,9.267,11.047,12.943
"LOC551113",53.717,55.344,55.197,54.406,53.658,50.857,59.05,64.068,75.812,56.85,59.859,62.525,46.829,47.586,53.712,49.877,54.343,65.219
"LOC100578829",92.712,91.9,62.462,77.28,60.945,54.624,74.04,46.537,37.722,72.678,35.845,47.17,46.191,61.768,28.996,40.052,31.173,25.886
"LOC725532",0.996,2.472,1.306,1.461,1.073,1.14,0.583,1.095,0.889,1.436,0.6,1.067,1.18,2.012,1.374,0.56,2.226,1.095
"LOC551647",1.451,0.963,2.196,1.319,1.067,2.092,1.241,1.088,1.4,1.753,1.545,1.303,1.907,1.969,1.708,1.909,1.906,0.749
"LOC102653997",0.314,0.358,0.227,0.134,0.124,0.228,0.433,0.219,0.193,0,0.074,0,0.293,0.073,0.21,0.139,0.215,0.136
"LOC100576614",19.778,22.737,17.442,17.811,23.477,21.276,17.513,15.26,15.444,12.33,16.399,13.778,21.563,21.52,24.087,22.315,20.999,27.175
"LOC113218594",7.81,7.298,9.553,6.17,8.445,4.645,20.029,12.171,15.703,9.396,19.982,8.887,11.996,8.881,20.98,10.536,8.485,13.262
"LOC724946",58.243,90.077,56.509,69.888,72.018,44.337,66.814,89.236,67.712,47.23,66.961,72.716,35.43,67.772,54.423,41.888,39.845,56.87
"LOC102655300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100576132",41.47,36.242,29.997,24.497,22.44,20.712,25.316,26.788,21.642,27.986,26.831,23.175,56.962,68.882,40.707,52.85,49.666,34.89
"LOC724952",9.931,8.547,7.223,6.594,5.737,6.305,4.795,4.386,4.44,4.165,3.754,5.01,5.791,6.027,4.061,4.942,4.294,3.822
"LOC551571",4.058,2.562,3.398,1.668,1.551,1.965,1.504,2.374,2.196,2.87,2.045,1.754,1.768,1.454,0.993,1.099,3.516,1.923
"LOC408400",77.368,147.623,87.574,89.818,135.13,153.882,52.912,79.819,70.668,78.211,59.069,78.421,79.364,133.303,52.076,65.871,72.102,65.374
"LOC552476",216.948,193.592,236.332,227.121,212.92,220.765,223.24,298.047,260.374,241.717,291.368,234.695,285.303,271.83,310.404,291.359,307.855,319.428
"LOC100578732",0.818,1.304,0.984,0.521,0.162,0.991,0.376,0.19,0.837,0.573,0.775,0.439,0.381,0.379,0,0.723,0.373,0.354
"LOC100577717",10.055,9.836,6.84,9.497,6.761,5.128,5.015,5.671,5.472,7.784,4.507,5.275,5.529,7.923,4.536,6.287,4.675,4.252
"LOC413796",74.458,77.577,77.84,82.248,74.979,85.114,120.939,104.052,107.137,97.817,112.2,107.643,84.867,79.103,95.393,87.526,85.848,109.498
"LOC726804",325.897,246.59,250.455,259.862,222.551,203.22,178.977,198.76,194.244,243.784,211.522,210.62,271.739,283.092,217.327,231.335,208.989,169.739
"LOC410291",3.919,2.417,3.708,4.458,2.148,3.98,1.627,2.176,1.966,1.357,1.078,1.627,2.65,3.512,2.54,2.85,3.051,2.131
"LOC100577178",0.598,0.389,0.493,1.052,0.776,0.455,0.628,0.318,0.385,0.319,0.485,0.183,1.233,0.751,0.496,0.831,0.311,0.369
"CPR16",4.285,2.675,2.355,3.745,2.031,1.304,0.45,1.253,2.105,1.599,1.275,2.1,2.851,4.194,3.388,2.272,1.449,2.116
"LOC409576",14.697,14.651,16.3,17.318,13.435,13.197,12.181,14.569,14.139,14.463,11.429,18.69,10.442,14.701,14.559,13.417,10.991,14.695
"LOC551445",21.856,21.429,25.637,18.57,20.116,24.892,20.205,19.883,21.136,21.848,20.697,24.463,24.496,20.682,23.695,24.838,25.153,28.748
"LOC107964040",1.558,2.128,2.342,2.152,2.847,4.057,1.88,1.178,2.87,2.726,2.029,1.044,2.54,1.984,2.609,2.238,3.636,3.872
"Mir3721",1.379,0,0,2.344,2.18,0,2.536,1.283,4.516,3.861,1.306,2.958,1.285,1.277,0,0,1.256,0
"LOC726347",1.497,1.549,1.636,1.012,1.398,2.274,1.908,1.298,1.644,2.73,2.449,1.386,1.49,1.796,1.367,1.835,2.014,1.794
"LOC724350",29.022,28.911,29.178,27.38,25.314,26.65,38.897,34.445,41.884,33.231,37.923,40.005,28.085,32.805,28.015,28.734,28.66,31.596
"LOC409733",24.625,17.805,26.79,29.482,18.204,21.623,15.665,17.41,19.649,19.29,15.369,20.967,25.282,18.886,23.18,25.201,22.68,21.47
"LOC102654246",0.65,0.296,0.156,0.276,0.899,0.63,0.299,1.058,0.532,2.275,0.616,0.871,0.151,0.903,0.145,0.287,0,0
"LOC100578349",1.538,1.95,1.268,2.333,1.302,2.128,0.656,1.226,1.439,1.537,0.936,1.237,2.251,1.882,1.618,2.136,0.75,0.522
"LOC725841",58.062,57.857,61.663,76.711,61.278,63.576,61.362,59.492,63.35,50.35,54.867,55.533,59.343,52.7,78.015,73.94,61.525,82.203
"LOC102655847",0,0,0,0,0,0,0,0,0,0,0,0.294,0.383,0,0.122,0,0,0.119
"LOC100577543",3.376,3.144,4.833,3.031,2.243,3.865,1.517,1.891,2.041,3.257,2.579,1.933,3.681,4.156,2.398,2.747,2.655,1.691
"LOC413631",67.789,75.787,33.81,62.526,68.18,26.209,72.253,86.674,60.853,73.376,94.279,70.03,76.089,85.641,61.806,66.773,90.558,73.529
"LOC726456",30.867,43.104,22.707,24.979,36.52,25.576,13.487,17.589,17.026,17.024,13.873,17.731,16.321,33.139,14.084,15.666,13.084,13.199
"LOC409189",413.102,471.439,448.313,452.224,421.495,417.21,449.773,485.565,412.589,413.289,412.22,477.28,438.554,448.835,378.536,433.298,378.686,424.686
"LOC113219321",0.536,0.163,0.172,0.455,0.141,0,0.493,0.166,0.146,0,0,0.766,0.166,0.827,0.159,0,0.488,0.309
"LOC726393",4.893,4.559,3.155,3.815,4.503,2.676,2.964,4.658,3.817,3.169,3.38,2.715,3.914,2.985,2.57,3.714,3.984,3.681
"LOC408785",31.677,30.636,28.092,25.972,28.049,27.22,25.497,22.815,21.491,27.139,20.076,25.637,24.338,26.934,21.239,23.641,19.979,20.239
"LOC552712",801.382,898.731,840.861,787.868,769.707,666.154,942.621,1264.083,970.264,979.045,1154.304,1034.809,906.725,897.476,755.532,907.289,766.543,815.456
"LOC726199",123.275,142.194,114.51,110.346,124.592,112.182,93.875,89.477,88.882,110.655,87.604,98.86,97.658,105.932,85.464,91.35,92.555,97.797
"LOC727288",97.251,90.017,81.877,76.229,85.43,90.041,157.607,111.035,142.907,136.455,174.617,115.918,94.843,83.603,120.538,108.375,114.782,131.92
"LOC102656283",5.808,5.09,6.16,5.442,7.034,6.467,3.444,5.049,5.288,5.267,6.683,4.539,7.129,4.926,6.252,5.038,6.673,4.597
"LOC113218739",3.349,3.266,2.3,2.642,3.969,1.274,4.948,5.006,4.503,4.128,4.757,4.744,4.01,1.993,2.669,3.065,3.485,1.447
"LOC409383",58.983,53.149,59.886,59.051,56.948,68.967,35.757,30.546,34.625,38.616,30.668,33.545,47.396,36.258,32.631,41.199,37.554,32.958
"LOC408335",111.978,115.382,115.382,126.412,106.743,102.061,73.641,106.824,91.859,90.618,84.397,104.641,106.702,107.28,96.509,95.5,89.463,82.139
"LOC551962",72.28,69.533,69.056,79.145,67.876,62.924,67.748,74.848,63.343,68.249,57.452,72.456,58.071,75.501,64.593,57.777,55.493,56.376
"LOC413356",91.123,101.139,92.418,113.56,94.121,77.745,77.053,93.356,74.63,70.7,66.832,82.158,56.665,79.929,67.497,56.114,49.029,56.145
"LOC412439",2.918,3.729,1.92,2.392,4.369,1.19,1.13,2.857,1.257,1.719,2.327,1.372,1.383,3.555,1.051,0.95,3.124,0.841
"LOC413493",8.254,7.971,8.956,7.676,9.342,8.048,12.203,11.256,11.55,11.186,11.301,13.632,9.35,11.05,11.004,9.07,8.735,9.253
"LOC100576703",64.524,65.76,61.765,58.347,62.954,55.825,25.302,43.377,30.109,45.72,32.095,24.304,53.475,48.839,30.293,52.743,41.59,22.472
"LOC725958",4.872,4.499,4.484,5.263,4.839,4.651,7.294,3.949,7.691,5.454,5.734,3.208,6.353,5.929,6.152,8.058,6.718,9.623
"LOC102656465",50.013,52.437,60.786,61.575,42.81,40.873,18.733,26.06,22.839,26.138,18.308,28.547,33.427,40.68,37.21,30.391,32.893,29.815
"LOC107966100",0,0.626,0,0,0.181,0,0,0,0,0,0.217,0,0,0,0,0,0.209,0
"LOC727308",18.896,15.066,18.037,18.548,15.939,17.994,10.815,13.245,13.494,13.558,10.548,14.185,16.031,14.945,12.622,14.379,13.768,9.659
"LOC725131",91.871,67.344,71.404,87.152,90.314,83.427,54.34,54.322,54.897,60.072,53.668,51.914,53.844,67.98,49.681,67.21,41.378,30.273
"LOC552851",22.715,19.87,17.989,13.56,19.825,17.975,23.955,15.467,26.069,20.846,26.923,16.554,24.822,18.696,30.752,22.44,26.161,28.035
"LOC724538",47.765,44.075,46.321,42.365,47.75,46.343,62.088,54.036,62.811,59.769,73.96,56.313,49.899,51.25,61.015,57.052,61.645,69.868
"LOC409203",476.178,440.097,339.396,286.981,318.668,258.472,158.781,183.39,138.123,187.879,160.594,208.887,237.901,498.533,202.064,227.49,220.572,226.128
"LOC726965",27.173,18.147,17.444,22.661,12.067,15.556,11.667,9.67,12.266,15.385,5.771,10.685,17.229,15.335,9.666,15.146,9.532,14.747
"LOC408877",77.715,61.798,86.635,70.677,81.466,84.466,35.986,44.028,41.517,52.701,41.839,38.076,74.726,58.355,48.851,54.834,65.147,24.564
"LOC726175",335.22,420.904,328.937,309.288,424.051,317.914,211.695,381.891,273.478,289.218,355.966,280.712,291.31,315.814,263.552,335.848,334.608,375.911
"LOC102656472",1.366,0.957,2.325,1.161,0.83,0.814,0.097,0.196,1.204,2.157,1.493,1.014,1.664,3.114,1.126,1.858,1.723,1.272
"LOC726619",22.331,24.476,25.228,24.5,23.127,26.67,15.946,26.822,21.12,24.475,21.352,20.455,26.656,22.484,21.874,23.762,16.19,25.108
"LOC725007",1.236,4.178,4.074,2.025,2.301,3.163,1.298,1.97,2.384,4.693,2.34,2.176,4.11,2.942,1.812,1.404,4.179,1.907
"LOC100577335",4.41,4.663,4.241,4.835,3.485,4.272,4.839,3.838,5.124,4.247,4.513,4.805,5.764,3.623,5.081,4.275,5.117,5.41
"LOC100576915",35.064,32.279,33.451,29.602,34.048,29.103,47.612,40.497,47.368,40.983,55.587,44.466,37.747,35.977,48.527,39.27,38.581,47.984
"LOC725225",5.873,6.554,4.372,5.794,6.886,3.853,2.003,3.877,4.187,2.651,3.857,3.554,18.439,11.139,16.406,18,17.941,17.436
"LOC410606",24.489,34.271,26.739,25.895,29.354,33.174,16.624,22.285,19.767,26.508,21.628,23.227,20.143,26.202,17.413,17.976,17.416,16.282
"Per",2.007,2.314,2.026,1.961,2.352,2.916,0.83,1.649,1.533,2.06,1.394,1.829,1.869,2.849,2.09,2.276,2.741,1.561
"LOC726164",102.34,95.865,87.401,80.517,85.826,93.937,138.925,101.723,110.995,116.679,129.45,113.088,91.019,94.076,96.65,107.927,100.597,110.316
"LOC413447",25.648,27.825,22.745,25.25,25.848,22.165,38.689,28.928,34.511,26.508,33.378,30.873,25.749,30.219,33.732,29.661,32.028,39.686
"LOC727078",44.57,46.375,39.022,30.521,43.251,33.045,22.541,28.11,22.56,21.19,26.008,38.207,29.298,44.876,35.636,28.559,34.529,31.537
"LOC113218822",2.604,0.889,0.626,2.489,2.057,2.207,0.598,0.303,1.332,0.911,0.616,0.349,1.819,0.904,1.162,1.438,0.296,0.844
"LOC411387",2.619,1.618,1.034,2.304,0.961,0.861,1.677,1.435,1.34,1.178,1.639,2.056,0.697,3.767,1.42,1.199,1.192,1.334
"TRNAA-CGC_1",2.012,3.663,9.672,6.836,7.947,3.897,11.096,1.871,6.586,3.753,3.81,0,3.747,3.725,7.184,1.778,5.495,3.477
"LOC411520",368.609,386.789,348.185,338.044,381.406,365.265,435.22,329.334,357.809,369.827,402.464,352.255,328.709,319.359,329.541,367.128,374.97,424.368
"LOC100579054",5.35,4.016,4.333,5.263,5.859,4.728,11.563,5.151,6.992,5.429,6.755,4.126,7.256,6.344,7.877,9.292,7.607,6.489
