"","Drone_1","Drone_2","Drone_3","Drone_4","Drone_5","Drone_6","Queen_1","Queen_2","Queen_3","Queen_4","queen_5","Queen_6","Worker_1","Worker_2","Worker_3","Worker_4","Worker_5","Worker_6"
"LOC411335",42.201,40.648,41.406,39.597,41.657,43.837,62.752,56.32,60.68,58.316,72.859,51.539,46.37,42.246,57.008,45.409,50.126,51.693
"LOC410869",15.734,17.256,15.131,16.982,18.336,16.417,15.639,12.714,12.084,14.566,15.072,12.44,15.051,13.95,16.814,15.142,17.205,19.268
"LOC102655762",0.326,3.194,2.746,1.179,1.547,3.082,1.125,2.505,1.403,4.339,4.945,1.75,2.432,2.946,0.51,1.731,4.087,0.846
"LOC724246",4.358,3.783,3.119,3.186,2.883,1.767,0.932,1.791,1.576,1.04,0.576,1.087,2.266,1.783,1.991,1.523,2.677,1.051
"LOC100577525",12.302,15.375,14.089,14.063,12.946,9.857,18.713,14.928,16.891,16.381,16.68,19.424,11.302,16.102,13.33,11.862,13.953,19.62
"LOC113219317",1.702,0.602,1.091,1.767,0.598,1.373,0.435,0.264,1.393,0.882,0.358,0.507,0.264,1.401,0.506,0.752,0.086,0.572
"LOC725359",6.981,6.356,3.41,5.555,5.779,3.327,7.131,7.73,5.352,8.581,6.191,5.108,8.153,3.899,7.024,6.268,8.678,7.47
"LOC727592",18.778,16.175,15.138,16.146,17.503,15.03,28.326,21.546,23.012,19.618,22.68,13.743,19.585,16.971,22.086,22.064,23.039,26.918
"LOC100578420",30.833,46.813,52.688,22.211,31.559,35.511,20.643,29.273,18.79,24.22,20.615,27.197,25.197,28.212,11.751,16.062,21.898,12.871
"LOC410109",21.582,24.956,23.532,26.063,22.375,20.088,22.533,21.894,24.241,21.271,22.24,28.805,15.697,23.809,19.5,16.236,16.857,20.04
"LOC413240",28.035,23.741,32.964,26.732,28.633,37.234,44.459,29.607,37.381,33.238,35.475,36.751,31.7,25.845,40.114,34.302,33.111,44.331
"LOC726731",87.5,73.736,82.007,57.478,69.263,70.909,128.771,87.741,118.816,116.156,148.125,77.296,104.424,76.314,128.455,107.518,123.789,134.495
"LOC551424",36.014,37.186,32.663,41.499,41.066,36.38,52.294,43.131,44.158,39.044,37.617,37.202,39.374,33.847,39.261,36.682,32.655,31.491
"LOC410012",63.621,71.815,68.062,63.943,69.274,56.362,50.169,71.847,59.348,73.431,64.165,63.495,57.972,67.529,47.72,58.138,61.076,63.178
"LOC552833",38.27,34.775,35.984,35.441,34.889,36.459,32.735,38.559,37.569,38.053,38.694,42.697,38.162,39.72,39.489,37,36.839,30.611
"LOC725775",26.009,19.897,32.473,24.848,24.342,24.147,9.687,10.634,12.496,16.191,10.043,8.639,18.644,18.513,11.027,18.992,15.971,10.534
"LOC413481",117.045,179.859,156.711,127.548,159.016,171.788,81.672,102.429,95.176,128.586,93.814,92.78,99.413,129.237,79.87,78.829,88.94,58.311
"LOC411058",14.654,9.737,11.963,13.113,9.904,13.409,11.781,12.413,11.46,12.828,11.426,13.304,12.923,12.558,11.775,12.291,11.528,12.826
